Sequence,Step,Predicted_Proportion,Predicted_Increment,Predicted_Cumulative,GroundTruth_Increment,GroundTruth_Cumulative,LSTM_Predicted_TimeDiff,LSTM_Predicted_Cumulative,LSTM_Predicted_TotalTime,TimeDiff_Improvement_Abs,Cumulative_Improvement_Abs,decoded_sourceID,BodyGroup_to,BodyGroup_from,SN
3,6,0.022550099,15.537018,108.43919,5.0,70.0,8.132545,48.01228,0.16168667,7.4044725288085935,16.451469510498043,MRI_FRR_264,HEAD,ARM,175974
3,7,0.022983203,15.835426,124.27462,69.0,139.0,8.132251,56.14453,0.16168667,-7.7031752141723615,-68.13008875,MRI_CCS_11,HEAD,ARM,175974
3,8,0.023009598,15.853613,140.12823,23.0,162.0,8.130715,64.275246,0.16168667,-7.722897629821777,-75.8529843334961,MRI_CCS_11,HEAD,ARM,175974
3,9,0.02265825,15.611534,155.73978,32.0,194.0,8.131015,72.40626,0.16168667,-7.480519176086425,-83.33352237060546,MRI_FRR_264,HEAD,ARM,175974
3,10,0.022561818,15.545093,171.28487,318.0,512.0,7.9914722,80.39773,0.16168667,-7.553620755737313,-90.88714203369142,MRI_FRR_264,HEAD,ARM,175974
3,11,0.02261272,15.580165,186.86504,1.0,513.0,8.072102,88.46983,0.16168667,7.508063406982421,-98.39520662597658,MRI_FRR_257,HEAD,ARM,175974
3,12,0.022161094,15.268994,202.13403,9.0,522.0,7.983671,96.45351,0.16168667,5.252665188354492,-105.68052353027343,MRI_FRR_264,HEAD,ARM,175974
3,13,0.021971807,15.138575,217.27261,1.0,523.0,7.820864,104.27437,0.16168667,7.317710799407958,-112.99824171386716,MRI_FRR_264,HEAD,ARM,175974
3,14,0.021909311,15.095515,232.36813,31.0,554.0,7.443529,111.717896,0.16168667,-7.65198587097168,-120.65023449218752,MRI_FRR_264,HEAD,ARM,175974
3,15,0.022193262,15.291158,247.65929,3.0,557.0,7.049746,118.76764,0.16168667,8.241411963470458,-128.89165083984375,MRI_FRR_257,HEAD,ARM,175974
3,16,0.022047833,15.190957,262.85025,0.0,557.0,6.1582055,124.92584,0.16168667,9.032751490814208,-137.92440771484377,MRI_FRR_264,HEAD,ARM,175974
3,17,0.022299908,15.364636,278.21487,1.0,558.0,4.6500473,129.5759,0.16168667,10.714588697753909,-148.63897278320314,MRI_FRR_257,HEAD,ARM,175974
3,18,0.021966903,15.135196,293.35007,0.0,558.0,2.26115,131.83705,0.16168667,12.874046116729737,-161.51301860839845,MRI_FRR_264,HEAD,ARM,175974
3,19,0.022075051,15.20971,308.55978,2.0,560.0,0.0,131.83705,0.16168667,11.20971,-176.72272860839843,MRI_FRR_257,HEAD,ARM,175974
3,20,0.021799812,15.02007,323.57986,0.0,560.0,0.0,131.83705,0.16168667,15.02007,-191.74280860839843,MRI_FRR_264,HEAD,ARM,175974
3,21,0.02209676,15.2246685,338.80453,1.0,561.0,0.0,131.83705,0.16168667,13.2246685,-206.96747860839844,MRI_FRR_257,HEAD,ARM,175974
3,22,0.022033548,15.181114,353.98566,1.0,562.0,0.0,131.83705,0.16168667,13.181114,-222.14860860839843,MRI_FRR_264,HEAD,ARM,175974
3,23,0.022357598,15.404385,369.39005,1.0,563.0,0.0,131.83705,0.16168667,13.404385,-237.5529986083984,MRI_FRR_34,HEAD,ARM,175974
3,24,0.022532266,15.524731,384.91476,6.0,569.0,0.0,131.83705,0.16168667,3.524730999999999,-253.07770860839844,MRI_FRR_257,HEAD,ARM,175974
3,25,0.022243511,15.325779,400.24054,10.0,579.0,0.0,131.83705,0.16168667,-4.674220999999999,-268.40348860839845,MRI_FRR_264,HEAD,ARM,175974
3,26,0.02230103,15.365409,415.60596,7.0,586.0,0.0,131.83705,0.16168667,1.3654089999999997,-283.7689086083984,MRI_FRR_257,HEAD,ARM,175974
3,27,0.021981088,15.14497,430.75092,15.0,601.0,0.0,131.83705,0.16168667,-14.85503,-298.91386860839845,MRI_FRR_264,HEAD,ARM,175974
3,28,0.022075929,15.210315,445.96124,15.0,616.0,0.0,131.83705,0.16168667,-14.789685,-314.1241886083984,MRI_CCS_11,HEAD,ARM,175974
3,29,0.022123555,15.243129,461.20438,4.0,620.0,0.0,131.83705,0.16168667,7.243129,-329.36732860839845,MRI_FRR_257,HEAD,ARM,175974
3,30,0.021929478,15.10941,476.31378,0.0,620.0,0.0,131.83705,0.16168667,15.10941,-344.47672860839845,MRI_FRR_264,HEAD,ARM,175974
3,31,0.022168057,15.273791,491.5876,1.0,621.0,0.0,131.83705,0.16168667,13.273791,-359.75054860839845,MRI_FRR_257,HEAD,ARM,175974
3,32,0.022030726,15.179171,506.76675,1.0,622.0,0.0,131.83705,0.16168667,13.179171,-374.9296986083984,MRI_FRR_264,HEAD,ARM,175974
3,33,0.022315491,15.375373,522.14215,1.0,623.0,0.0,131.83705,0.16168667,13.375373,-390.30509860839845,MRI_FRR_257,HEAD,ARM,175974
3,34,0.02217911,15.281406,537.4236,0.0,623.0,0.0,131.83705,0.16168667,15.281406,-405.5865486083984,MRI_FRR_264,HEAD,ARM,175974
3,35,0.02239069,15.427185,552.85077,3.0,626.0,0.0,131.83705,0.16168667,9.427185,-421.0137186083985,MRI_FRR_257,HEAD,ARM,175974
3,36,0.02208984,15.2199,568.0707,0.0,626.0,0.0,131.83705,0.16168667,15.2199,-436.2336486083984,MRI_FRR_264,HEAD,ARM,175974
3,37,0.022158626,15.267294,583.33795,1.0,627.0,0.0,131.83705,0.16168667,13.267294,-451.5008986083984,MRI_FRR_257,HEAD,ARM,175974
3,38,0.021870954,15.069087,598.40704,1.0,628.0,0.0,131.83705,0.16168667,13.069087,-466.5699886083985,MRI_FRR_264,HEAD,ARM,175974
3,39,0.022049496,15.192102,613.5991,0.0,628.0,0.0,131.83705,0.16168667,15.192102,-481.76204860839846,MRI_FRR_257,HEAD,ARM,175974
3,40,0.021903047,15.0912,628.6903,1.0,629.0,0.0,131.83705,0.16168667,13.0912,-496.8532486083984,MRI_FRR_264,HEAD,ARM,175974
3,41,0.022066768,15.204003,643.8943,1.0,630.0,0.0,131.83705,0.16168667,13.204003,-484.2686486083984,MRI_FRR_34,HEAD,ARM,175974
3,42,0.022123383,15.243011,659.1373,6.0,636.0,0.0,131.83705,0.16168667,3.243010999999999,-481.02564860839846,MRI_FRR_257,HEAD,ARM,175974
3,43,0.02179769,15.018609,674.15594,53.0,689.0,0.0,131.83705,0.16168667,-15.018608999999998,-542.3188886083984,MRI_FRR_264,HEAD,ARM,175974
3,44,0.021544462,14.844134,689.00006,-689.0,0.0,0.0,131.83705,0.16168667,14.844134000000054,557.1630086083984,MRI_MPT_1005,HEAD,ARM,175974
4,1,0.030626599,11.821867,23.805328,-832.0,0.0,7.010986,7.010986,0.1591325,4.810881148712156,16.794342148712158,MRI_MSR_100,HEAD,ARM,175974
4,2,0.030266166,11.68274,35.488068,14.0,14.0,8.080694,15.091681,0.1591325,-3.6020458013916024,20.3963874732666,MRI_MSR_104,LEG,HEAD,175974
4,3,0.030473828,11.7628975,47.250965,8.0,22.0,8.155042,23.246723,0.1591325,3.607855805358886,24.004241824951173,MRI_FRR_257,LEG,HEAD,175974
4,4,0.030293478,11.693282,58.94425,7.0,29.0,8.159097,31.405819,0.1591325,3.534185282165528,27.53843106079101,MRI_FRR_264,LEG,HEAD,175974
4,5,0.030895544,11.92568,70.86993,2.0,31.0,8.153289,39.55911,0.1591325,3.772391158752441,31.310821265869137,MRI_CCS_11,LEG,HEAD,175974
4,6,0.030628843,11.822734,82.69266,6.0,37.0,8.149086,47.708195,0.1591325,3.673648001464844,34.98446526733399,MRI_FRR_264,LEG,HEAD,175974
4,7,0.030935481,11.941095,94.63375,4.0,41.0,8.145188,55.853382,0.1591325,3.7959066683959968,38.7803678894043,MRI_MSR_34,LEG,HEAD,175974
4,8,0.030832672,11.901412,106.535164,2.0,43.0,8.142685,63.996067,0.1591325,3.758727063476563,42.53909695288085,MRI_FRR_264,LEG,HEAD,175974
4,9,0.0308095,11.892467,118.42763,101.0,144.0,8.128371,72.124435,0.1591325,-3.7640957612915,-46.303194575195306,MRI_FRR_264,LEG,HEAD,175974
4,10,0.031107532,12.007507,130.43513,27.0,171.0,8.154992,80.27943,0.1591325,-3.85251489642334,-50.15570342529296,MRI_CCS_11,LEG,HEAD,175974
4,11,0.030435996,11.748295,142.18343,77.0,248.0,7.989131,88.268555,0.1591325,-3.759164026184081,-53.91487531249999,MRI_FRR_264,LEG,HEAD,175974
4,12,0.03047993,11.765253,153.94868,4.0,252.0,8.028903,96.297455,0.1591325,3.7363499924926753,-57.65122516601562,MRI_CCS_11,LEG,HEAD,175974
4,13,0.03018701,11.652186,165.60088,0.0,252.0,7.9221735,104.21963,0.1591325,3.730012499938965,-61.381252619628896,MRI_FRR_257,LEG,HEAD,175974
4,14,0.030046804,11.598066,177.19894,0.0,252.0,7.6557617,111.87539,0.1591325,3.9423042812499993,-65.3235509008789,MRI_CCS_11,LEG,HEAD,175974
4,15,0.029862672,11.526992,188.72594,13.0,265.0,7.2729015,119.14829,0.1591325,-4.25409046496582,-69.5776474584961,MRI_FRR_264,LEG,HEAD,175974
4,16,0.029974582,11.5701885,200.29613,13.0,278.0,6.644849,125.793144,0.1591325,-4.925339676452637,-74.50298577392579,MRI_FRR_264,LEG,HEAD,175974
4,17,0.030318603,11.702981,211.99911,7.0,285.0,5.5360203,131.32916,0.1591325,3.2390012789306635,-80.66994740234375,MRI_FRR_257,LEG,HEAD,175974
4,18,0.029862648,11.526982,223.5261,4.0,289.0,3.7336903,135.06285,0.1591325,7.260672261840821,-88.46324904785158,MRI_FRR_264,LEG,HEAD,175974
4,19,0.030011522,11.584447,235.11053,3.0,292.0,1.1570339,136.21988,0.1591325,6.741480920288087,-98.8906508496094,MRI_FRR_257,LEG,HEAD,175974
4,20,0.029634254,11.438822,246.54936,0.0,292.0,0.0,136.21988,0.1591325,11.438822,-110.32948084960938,MRI_FRR_264,LEG,HEAD,175974
4,21,0.030039944,11.595418,258.14478,1.0,293.0,0.0,136.21988,0.1591325,9.595418,-121.9249008496094,MRI_FRR_257,LEG,HEAD,175974
4,22,0.029954657,11.562497,269.70728,4.0,297.0,0.0,136.21988,0.1591325,3.5624970000000005,-133.4874008496094,MRI_FRR_264,LEG,HEAD,175974
4,23,0.030541912,11.789178,281.49646,1.0,298.0,0.0,136.21988,0.1591325,9.789178,-145.2765808496094,MRI_FRR_257,LEG,HEAD,175974
4,24,0.030293314,11.693219,293.18967,0.0,298.0,0.0,136.21988,0.1591325,11.693219,-156.96979084960935,MRI_FRR_264,LEG,HEAD,175974
4,25,0.030526027,11.783047,304.97272,1.0,299.0,0.0,136.21988,0.1591325,9.783047,-156.8074008496094,MRI_FRR_257,LEG,HEAD,175974
4,26,0.030057779,11.602303,316.575,1.0,300.0,0.0,136.21988,0.1591325,9.602303,-147.2051208496094,MRI_FRR_264,LEG,HEAD,175974
4,27,0.03005061,11.599535,328.17456,0.0,300.0,0.0,136.21988,0.1591325,11.599535,-135.6055608496094,MRI_FRR_34,LEG,HEAD,175974
4,28,0.030060964,11.603532,339.7781,6.0,306.0,0.0,136.21988,0.1591325,-0.3964680000000005,-136.00202084960938,MRI_FRR_257,LEG,HEAD,175974
4,29,0.029773781,11.49268,351.27078,64.0,370.0,0.0,136.21988,0.1591325,-11.49268,-215.05090084960932,MRI_FRR_264,LEG,HEAD,175974
4,30,0.029888155,11.536828,362.80762,15.0,385.0,0.0,136.21988,0.1591325,-11.536828,-226.58774084960936,MRI_MPT_1005,LEG,HEAD,175974
4,31,0.03013516,11.632172,374.4398,1.0,386.0,0.0,136.21988,0.1591325,9.632172,-238.21992084960937,MRI_FRR_257,LEG,HEAD,175974
4,32,0.029948814,11.560242,386.00003,-386.0,0.0,0.0,136.21988,0.1591325,11.560242000000017,249.78015084960936,MRI_FRR_264,LEG,HEAD,175974
5,1,0.03875269,21.197721,42.6852,-403.0,0.0,7.2884054,7.2884054,0.15561761,13.909315581604003,35.396794581604006,MRI_MSR_100,LEG,HEAD,175974
5,2,0.038296625,20.948254,63.633453,39.0,39.0,8.114808,15.4032135,0.15561761,-12.833445917419432,1.0366665009765654,MRI_MSR_104,HEART,LEG,175974
5,3,0.03855939,21.091986,84.72544,10.0,49.0,8.167349,23.570562,0.15561761,9.259334861694336,10.296002362670905,MRI_FRR_257,HEART,LEG,175974
5,4,0.03833119,20.96716,105.6926,1.0,50.0,8.165437,31.736,0.15561761,12.801723255310058,37.42860006103516,MRI_FRR_264,HEART,LEG,175974
5,5,0.03856133,21.093046,126.785645,38.0,88.0,8.1651125,39.90111,0.15561761,-12.927933504577638,-9.313243397216796,MRI_FRR_264,HEART,LEG,175974
5,6,0.039351348,21.525187,148.31084,1.0,89.0,8.1601305,48.06124,0.15561761,13.365056499206542,18.37208114990236,MRI_CCS_11,HEART,LEG,175974
5,7,0.03949572,21.60416,169.915,3.0,92.0,8.157789,56.219032,0.15561761,13.44637076965332,42.13403228759765,MRI_CCS_11,HEART,LEG,175974
5,8,0.038983826,21.324152,191.23915,1.0,93.0,8.1557455,64.37478,0.15561761,13.16840649371338,69.61392874755859,MRI_FRR_264,HEART,LEG,175974
5,9,0.03951343,21.613848,212.853,2.0,95.0,8.155173,72.52995,0.15561761,13.458674698303223,95.3829530029297,MRI_CCS_11,HEART,LEG,175974
5,10,0.039332543,21.5149,234.36789,95.0,190.0,8.145843,80.6758,0.15561761,-13.36905744781494,-64.95631349121095,MRI_CCS_11,HEART,LEG,175974
5,11,0.038487438,21.05263,255.42052,211.0,401.0,7.970315,88.64611,0.15561761,-13.08231502044677,-166.77440946533204,MRI_FRR_264,HEART,LEG,175974
5,12,0.038538132,21.080359,276.5009,49.0,450.0,7.8972588,96.543365,0.15561761,-13.18310024145508,-179.95753452148438,MRI_CCS_11,HEART,LEG,175974
5,13,0.038175546,20.882023,297.3829,3.0,453.0,7.7726564,104.316025,0.15561761,13.109366559265135,-193.06687521972657,MRI_FRR_257,HEART,LEG,175974
5,14,0.037668303,20.60456,317.98746,8.0,461.0,7.3623915,111.67841,0.15561761,11.966951471862792,-206.30904660888672,MRI_FRR_264,HEART,LEG,175974
5,15,0.03815882,20.872873,338.86032,2.0,463.0,6.6328363,118.31125,0.15561761,14.240036658142088,-220.54907122070315,MRI_FRR_257,HEART,LEG,175974
5,16,0.037907984,20.735668,359.59598,1.0,464.0,5.0726624,123.38391,0.15561761,15.663005646484375,-236.2120688671875,MRI_FRR_264,HEART,LEG,175974
5,17,0.038343422,20.973852,380.56982,2.0,466.0,2.5743082,125.95822,0.15561761,18.39954384303284,-254.61159856445312,MRI_FRR_257,HEART,LEG,175974
5,18,0.037769433,20.65988,401.2297,0.0,466.0,0.11785118,126.07607,0.15561761,20.54202881718159,-275.1536273071289,MRI_FRR_264,HEART,LEG,175974
5,19,0.037957426,20.762712,421.99243,3.0,469.0,0.0,126.07607,0.15561761,14.762712,-295.9163573071289,MRI_FRR_257,HEART,LEG,175974
5,20,0.03748335,20.503391,442.49582,1.0,470.0,0.0,126.07607,0.15561761,18.503391,-316.4197473071289,MRI_FRR_264,HEART,LEG,175974
5,21,0.037767947,20.659067,463.15488,0.0,470.0,0.0,126.07607,0.15561761,20.659067,-337.0788073071289,MRI_FRR_34,HEART,LEG,175974
5,22,0.03832243,20.96237,484.11725,6.0,476.0,0.0,126.07607,0.15561761,8.96237,-341.8066773071289,MRI_FRR_257,HEART,LEG,175974
5,23,0.038177434,20.883057,505.0003,20.0,496.0,0.0,126.07607,0.15561761,-19.116943,-360.9236273071289,MRI_FRR_264,HEART,LEG,175974
5,24,0.0383688,20.987734,525.98804,51.0,547.0,0.0,126.07607,0.15561761,-20.987734,-399.91196730712886,MRI_MSR_34,HEART,LEG,175974
5,25,0.038413115,21.011974,547.0,-547.0,0.0,0.0,126.07607,0.15561761,21.01197400000001,420.9239273071289,MRI_MPT_1005,HEART,LEG,175974
