Row_Number,Sequence,Step,Predicted_Proportion,Predicted_Increment,Predicted_Cumulative,GroundTruth_Increment,GroundTruth_Cumulative,LSTM_Predicted_TimeDiff,LSTM_Predicted_Cumulative,LSTM_Predicted_TotalTime,TimeDiff_Improvement_Abs,Cumulative_Improvement_Abs,SN,decoded_sourceID,BodyGroup_to,BodyGroup_from
21,1,3,0.04934736,11.596629,46.55724,5.0,31.0,15.22725,24.610313,0.003560574,-3.630621099182129,9.167553415527344,182625,MRI_FRR_2,SHOULDER,SHOULDER
22,1,4,0.050214812,11.800481,58.35772,7.0,38.0,16.791082,41.401398,0.003560574,-4.990601382202149,16.956322294921875,182625,MRI_FRR_257,SHOULDER,SHOULDER
23,1,5,0.050294593,11.819229,70.17695,17.0,55.0,17.485104,58.8865,0.003560574,4.695667392822266,11.290448687744146,182625,MRI_FRR_264,SHOULDER,SHOULDER
24,1,6,0.050337367,11.829281,82.006226,32.0,87.0,17.978632,76.865135,0.003560574,6.1493509732666,-5.141090807128904,182625,MRI_FRR_264,SHOULDER,SHOULDER
25,1,7,0.04968584,11.676172,93.682396,6.0,93.0,17.859056,94.72419,0.003560574,-6.182884472778321,-1.041793758300784,182625,MRI_CCS_11,SHOULDER,SHOULDER
26,1,8,0.04965021,11.6678,105.3502,65.0,158.0,18.862982,113.58717,0.003560574,7.195181796264649,8.236973461914062,182625,MRI_CCS_11,SHOULDER,SHOULDER
27,1,9,0.05026278,11.811753,117.16195,2.0,160.0,18.46501,132.05219,0.003560574,-6.653256689331055,14.890235058593746,182625,MRI_FRR_257,SHOULDER,SHOULDER
28,1,10,0.050251342,11.809066,128.97101,10.0,170.0,18.382025,150.4342,0.003560574,-6.572958765014649,21.463194101562493,182625,MRI_FRR_264,SHOULDER,SHOULDER
29,1,11,0.05024668,11.807969,140.77898,2.0,172.0,16.201868,166.63608,0.003560574,-4.393899057250977,25.857097880859385,182625,MRI_FRR_264,SHOULDER,SHOULDER
30,1,12,0.050192337,11.795199,152.57417,7.0,179.0,14.705874,181.34195,0.003560574,-2.910675443054199,24.08388053710937,182625,MRI_FRR_257,SHOULDER,SHOULDER
31,1,13,0.050203886,11.797914,164.37209,3.0,182.0,8.6212435,189.9632,0.003560574,3.1766705231323247,9.664714199218764,182625,MRI_FRR_264,SHOULDER,SHOULDER
32,1,14,0.05023097,11.804277,176.17636,28.0,210.0,13.634105,203.5973,0.003560574,1.829827728698732,27.42094529785157,182625,MRI_FRR_3,SHOULDER,SHOULDER
33,1,15,0.049823467,11.708514,187.88487,0.0,210.0,0.60304207,204.20035,0.003560574,11.10547193390274,16.31547790039062,182625,MRI_MSR_34,SHOULDER,SHOULDER
34,1,16,0.049799502,11.702883,199.58775,9.0,219.0,0.0,204.20035,0.003560574,-6.297117,4.612597900390625,182625,MRI_MPT_1005,SHOULDER,SHOULDER
35,1,17,0.050106306,11.7749815,211.36273,2.0,221.0,0.0,204.20035,0.003560574,7.774981500000001,-7.162382099609374,182625,MRI_FRR_257,SHOULDER,SHOULDER
36,1,18,0.050186526,11.793834,223.15657,14.0,235.0,0.0,204.20035,0.003560574,-11.793834,-18.956222099609363,182625,MRI_FRR_264,SHOULDER,SHOULDER
37,1,19,0.050397415,11.843392,234.99997,-235.0,0.0,0.0,204.20035,0.003560574,11.843391999999994,30.799622099609365,182625,MRI_EXU_95,SHOULDER,SHOULDER
38,2,1,0.055275355,20.451881,41.01073,-235.0,0.0,14.841245,14.841245,0.004704006,5.610636302429214,26.1694853024292,182625,MRI_MSR_100,SHOULDER,SHOULDER
39,2,2,0.05450086,20.165318,61.17605,21.0,21.0,18.768957,33.610203,0.004704006,-1.3963608619384758,27.56584721069336,182625,MRI_MSR_104,SHOULDER,SHOULDER
40,2,3,0.05484442,20.292435,81.46848,23.0,44.0,18.84874,52.458942,0.004704006,-1.4436953759765636,29.00953758666992,182625,MRI_FRR_2,SHOULDER,SHOULDER
41,2,4,0.0558085,20.649145,102.11763,7.0,51.0,18.813753,71.2727,0.004704006,1.835391871948243,30.844932551269537,182625,MRI_FRR_257,SHOULDER,SHOULDER
42,2,5,0.055897165,20.681952,122.79958,21.0,72.0,18.85857,90.13127,0.004704006,-1.8233819011230457,32.66830863769532,182625,MRI_FRR_264,SHOULDER,SHOULDER
43,2,6,0.055944704,20.699541,143.49913,77.0,149.0,19.0759,109.20717,0.004704006,-1.6236418758544886,-34.291961420898446,182625,MRI_FRR_264,SHOULDER,SHOULDER
44,2,7,0.055220604,20.431623,163.93076,14.0,163.0,18.846306,128.05347,0.004704006,1.5853171528320296,-34.01577320312501,182625,MRI_CCS_11,SHOULDER,SHOULDER
45,2,8,0.055181,20.41697,184.34772,75.0,238.0,19.02366,147.07713,0.004704006,-1.39330934020996,-37.27058682128907,182625,MRI_CCS_11,SHOULDER,SHOULDER
46,2,9,0.055861473,20.668745,205.01646,12.0,250.0,18.900503,165.97763,0.004704006,1.768241841430665,-39.03882938476562,182625,MRI_FRR_264,SHOULDER,SHOULDER
47,2,10,0.05580245,20.646906,225.66338,7.0,257.0,18.37161,184.34924,0.004704006,2.275295358520509,-41.31413683593749,182625,MRI_FRR_257,SHOULDER,SHOULDER
48,2,11,0.055841528,20.661366,246.32474,4.0,261.0,15.883044,200.23228,0.004704006,4.778321757141114,-46.092455454101554,182625,MRI_FRR_264,SHOULDER,SHOULDER
49,2,12,0.05594135,20.6983,267.02304,84.0,345.0,18.485285,218.71758,0.004704006,-2.213015194702152,-48.30546492675779,182625,MRI_FRR_3,SHOULDER,SHOULDER
50,2,13,0.05548993,20.531275,287.55432,1.0,346.0,12.293849,231.01143,0.004704006,8.237426008605958,-56.542891166992206,182625,MRI_MSR_34,SHOULDER,SHOULDER
51,2,14,0.05545245,20.517406,308.07172,8.0,354.0,4.2902684,235.3017,0.004704006,8.807674421173097,-72.77002322265628,182625,MRI_MPT_1005,SHOULDER,SHOULDER
52,2,15,0.055647522,20.589582,328.6613,2.0,356.0,0.0,235.3017,0.004704006,16.589582,-93.35960322265623,182625,MRI_FRR_257,SHOULDER,SHOULDER
53,2,16,0.055711538,20.61327,349.27457,14.0,370.0,0.0,235.3017,0.004704006,-7.38673,-113.97287322265625,182625,MRI_FRR_264,SHOULDER,SHOULDER
54,2,17,0.056014728,20.725449,370.0,-370.0,0.0,0.0,235.3017,0.004704006,20.725449000000022,134.69830322265625,182625,MRI_EXU_95,SHOULDER,SHOULDER
55,3,1,0.058481786,13.743219,27.55832,-370.0,0.0,0.0,0.0,0.001970676,13.74321900000001,27.55832,182625,MRI_MSR_100,SHOULDER,SHOULDER
56,3,2,0.05766236,13.550654,41.108974,7.0,7.0,0.8807806,0.8807806,0.001970676,0.4314345776596067,27.98975457765961,182625,MRI_MSR_104,SHOULDER,SHOULDER
57,3,3,0.058025856,13.636076,54.74505,6.0,13.0,8.294261,9.175041,0.001970676,5.341815021301269,37.92009119873047,182625,MRI_FRR_2,SHOULDER,SHOULDER
58,3,4,0.05904586,13.875777,68.62083,7.0,20.0,12.052495,21.227535,0.001970676,1.823281997253417,47.393294752197264,182625,MRI_FRR_257,SHOULDER,SHOULDER
59,3,5,0.05913967,13.897822,82.51865,11.0,31.0,13.919272,35.14681,0.001970676,-0.0214504227905276,47.371841375732416,182625,MRI_FRR_264,SHOULDER,SHOULDER
60,3,6,0.059189968,13.909642,96.42829,71.0,102.0,17.037415,52.184223,0.001970676,3.127772550781252,-44.244066824951176,182625,MRI_FRR_264,SHOULDER,SHOULDER
61,3,7,0.059200373,13.912087,110.34038,1.0,103.0,16.032892,68.21712,0.001970676,-2.120805227172852,-27.44250269042969,182625,MRI_FRR_257,SHOULDER,SHOULDER
62,3,8,0.059140973,13.8981285,124.23851,8.0,111.0,15.4652405,83.68236,0.001970676,-1.567111978515625,-14.079132211914056,182625,MRI_FRR_264,SHOULDER,SHOULDER
63,3,9,0.05906171,13.879501,138.11801,34.0,145.0,16.822931,100.50529,0.001970676,2.943430289672854,-37.61272282958984,182625,MRI_FRR_264,SHOULDER,SHOULDER
64,3,10,0.059002433,13.865572,151.98358,8.0,153.0,13.7239065,114.229195,0.001970676,0.1416654829711916,-37.75438535888671,182625,MRI_FRR_257,SHOULDER,SHOULDER
65,3,11,0.05904411,13.875366,165.85895,4.0,157.0,7.070976,121.30017,0.001970676,6.804390219512939,-26.840879101562507,182625,MRI_FRR_264,SHOULDER,SHOULDER
66,3,12,0.059152134,13.900751,179.7597,38.0,195.0,11.441918,132.7421,0.001970676,-2.458832626892089,-47.017604052734384,182625,MRI_FRR_3,SHOULDER,SHOULDER
67,3,13,0.058675002,13.788626,193.54832,0.0,195.0,0.0,132.7421,0.001970676,13.788626,-60.806224052734365,182625,MRI_MSR_34,SHOULDER,SHOULDER
68,3,14,0.05863516,13.779263,207.32759,37.0,232.0,0.0,132.7421,0.001970676,-13.779263,-74.58549405273436,182625,MRI_MPT_1005,SHOULDER,SHOULDER
69,3,15,0.05884301,13.828107,221.1557,3.0,235.0,0.0,132.7421,0.001970676,7.828106999999999,-88.41360405273437,182625,MRI_FRR_257,SHOULDER,SHOULDER
70,3,16,0.0589119,13.844296,235.0,-235.0,0.0,0.0,132.7421,0.001970676,13.844295999999986,102.25790405273438,182625,MRI_FRR_264,SHOULDER,SHOULDER
71,4,1,0.052377496,15.608494,31.298622,-248.0,0.0,0.0,0.0,0.002620533,15.608494000000007,31.298622,182625,MRI_MSR_100,SHOULDER,SHOULDER
72,4,2,0.051643606,15.389794,46.688416,20.0,20.0,10.923749,10.923749,0.002620533,-4.466045029968262,17.612164970031735,182625,MRI_MSR_104,ABDOMEN,SHOULDER
73,4,3,0.051969156,15.486809,62.175224,6.0,26.0,14.653956,25.577705,0.002620533,0.8328525867309562,35.75292938330078,182625,MRI_FRR_2,ABDOMEN,SHOULDER
74,4,4,0.052882694,15.759043,77.934265,8.0,34.0,15.707923,41.28563,0.002620533,0.0511200645141602,36.64863572753906,182625,MRI_FRR_257,ABDOMEN,SHOULDER
75,4,5,0.052966714,15.7840805,93.718346,15.0,49.0,16.22164,57.50727,0.002620533,-0.437559133178711,36.21107518701172,182625,MRI_FRR_264,ABDOMEN,SHOULDER
76,4,6,0.05301176,15.797504,109.515854,18.0,67.0,16.484026,73.991295,0.002620533,0.6865219552001953,35.52455913916016,182625,MRI_FRR_264,ABDOMEN,SHOULDER
77,4,7,0.05232562,15.593035,125.10889,75.0,142.0,17.76251,91.75381,0.002620533,2.1694752996826168,-33.35508293212891,182625,MRI_CCS_11,ABDOMEN,SHOULDER
78,4,8,0.05299456,15.792379,140.90126,1.0,143.0,16.726398,108.48021,0.002620533,-0.9340194680175776,-32.42105064941407,182625,MRI_FRR_257,ABDOMEN,SHOULDER
79,4,9,0.052930254,15.773216,156.67447,10.0,153.0,16.453087,124.9333,0.002620533,-0.6798708530273441,-24.392233796386705,182625,MRI_FRR_264,ABDOMEN,SHOULDER
80,4,10,0.05289214,15.761858,172.43633,61.0,214.0,17.882381,142.81567,0.002620533,2.1205234392089807,-29.620656171875,182625,MRI_FRR_264,ABDOMEN,SHOULDER
81,4,11,0.05215961,15.543564,187.97989,41.0,255.0,17.69895,160.51462,0.002620533,2.155385813842773,-27.465272080078137,182625,MRI_CCS_11,ABDOMEN,SHOULDER
82,4,12,0.05285298,15.750188,203.73007,8.0,263.0,12.897643,173.41226,0.002620533,2.852544910705566,-30.317808037109387,182625,MRI_FRR_257,ABDOMEN,SHOULDER
83,4,13,0.052984845,15.789484,219.51956,0.0,263.0,4.704719,178.11697,0.002620533,11.084764933380129,-41.40258612304689,182625,MRI_FRR_3,ABDOMEN,SHOULDER
84,4,14,0.052835166,15.74488,235.26443,11.0,274.0,2.4347181,180.5517,0.002620533,-3.820401867980957,-54.712733222656254,182625,MRI_FRR_264,ABDOMEN,SHOULDER
85,4,15,0.052466553,15.635033,250.89948,0.0,274.0,0.0,180.5517,0.002620533,15.635033,-70.34778322265626,182625,MRI_MSR_34,ABDOMEN,SHOULDER
86,4,16,0.052441455,15.627554,266.52704,23.0,297.0,0.0,180.5517,0.002620533,-15.627554,-85.97534322265625,182625,MRI_MPT_1005,ABDOMEN,SHOULDER
87,4,17,0.052764684,15.723876,282.25092,1.0,298.0,0.0,180.5517,0.002620533,13.723876,-101.69922322265626,182625,MRI_FRR_257,ABDOMEN,SHOULDER
88,4,18,0.05284924,15.749074,298.0,-298.0,0.0,0.0,180.5517,0.002620533,15.749074000000007,117.44830322265624,182625,MRI_FRR_264,ABDOMEN,SHOULDER
89,5,1,0.03699276,24.822142,49.77411,-313.0,0.0,16.476025,16.476025,0.008574116,8.346117372314438,33.29808537231445,182625,MRI_MSR_100,ABDOMEN,SHOULDER
90,5,2,0.036474433,24.474344,74.24845,42.0,42.0,18.532698,35.00872,0.008574116,-5.941646322387694,25.257170397949224,182625,MRI_MSR_104,SPINE,ABDOMEN
91,5,3,0.036704358,24.628624,98.877075,5.0,47.0,18.535875,53.544594,0.008574116,6.092748679565428,45.33248118896485,182625,MRI_FRR_2,SPINE,ABDOMEN
92,5,4,0.037349567,25.06156,123.93864,9.0,56.0,18.560507,72.1051,0.008574116,6.501053179321289,51.83353746093751,182625,MRI_FRR_257,SPINE,ABDOMEN
93,5,5,0.037408903,25.101374,149.04001,8.0,64.0,18.56745,90.672554,0.008574116,6.533924430297851,58.36745598388672,182625,MRI_FRR_264,SPINE,ABDOMEN
94,5,6,0.036945965,24.790743,173.83075,1.0,65.0,18.559673,109.23222,0.008574116,6.231069690673827,64.59852648925781,182625,MRI_CCS_11,SPINE,ABDOMEN
95,5,7,0.036984116,24.816341,198.6471,9.0,74.0,18.581612,127.813835,0.008574116,6.23472936669922,70.83326485595703,182625,MRI_CCS_11,SPINE,ABDOMEN
96,5,8,0.037439346,25.121801,223.76889,117.0,191.0,18.892519,146.70636,0.008574116,-6.229282002807622,-11.524750136718753,182625,MRI_FRR_264,SPINE,ABDOMEN
97,5,9,0.037385914,25.085949,248.85484,0.0,191.0,18.598475,165.30484,0.008574116,6.487474497436523,32.15968008789062,182625,MRI_FRR_264,SPINE,ABDOMEN
98,5,10,0.036859397,24.732655,273.5875,12.0,203.0,18.609947,183.9148,0.008574116,6.122707795410157,51.50229492187498,182625,MRI_CCS_11,SPINE,ABDOMEN
99,5,11,0.03685808,24.731773,298.31927,3.0,206.0,18.556032,202.47083,0.008574116,6.175740819213868,88.79009519531252,182625,MRI_CCS_11,SPINE,ABDOMEN
100,5,12,0.03685123,24.727177,323.04645,64.0,270.0,18.752562,221.22339,0.008574116,-5.97461543078613,4.269838671874993,182625,MRI_CCS_11,SPINE,ABDOMEN
101,5,13,0.036836926,24.717577,347.76404,2.0,272.0,18.42879,239.65218,0.008574116,6.288787861206053,43.416215903320335,182625,MRI_CCS_11,SPINE,ABDOMEN
102,5,14,0.03680446,24.695793,372.45984,1.0,273.0,18.336363,257.98853,0.008574116,6.359430161254881,84.44836539062499,182625,MRI_CCS_11,SPINE,ABDOMEN
103,5,15,0.036782335,24.680946,397.14078,326.0,599.0,18.776787,276.76532,0.008574116,-5.904159195800787,-120.37546017578126,182625,MRI_CCS_11,SPINE,ABDOMEN
104,5,16,0.036793474,24.688421,421.8292,2.0,601.0,18.504343,295.26965,0.008574116,6.184077967163088,-126.55954667968751,182625,MRI_CCS_11,SPINE,ABDOMEN
105,5,17,0.036835894,24.716885,446.54608,11.0,612.0,17.51843,312.7881,0.008574116,7.198454290161134,-133.75799406250002,182625,MRI_CCS_11,SPINE,ABDOMEN
106,5,18,0.03687045,24.740072,471.28616,22.0,634.0,16.542519,329.3306,0.008574116,-2.7174093842773424,-141.95556307617187,182625,MRI_CCS_11,SPINE,ABDOMEN
107,5,19,0.03728672,25.01939,496.30554,10.0,644.0,14.189993,343.5206,0.008574116,10.829397095336915,-152.78494063476563,182625,MRI_FRR_257,SPINE,ABDOMEN
108,5,20,0.037208676,24.967022,521.2726,2.0,646.0,9.449633,352.97025,0.008574116,15.51738935534668,-168.3023546386719,182625,MRI_FRR_264,SPINE,ABDOMEN
109,5,21,0.036798947,24.692093,545.96466,1.0,647.0,3.8328762,356.80313,0.008574116,20.859216794555664,-189.1615288964844,182625,MRI_MSR_34,SPINE,ABDOMEN
110,5,22,0.036706638,24.630154,570.5948,3.0,650.0,0.41316372,357.2163,0.008574116,19.04331772156144,-213.37849140625,182625,MRI_MPT_1005,SPINE,ABDOMEN
111,5,23,0.037055336,24.86413,595.4589,4.0,654.0,0.0,357.2163,0.008574116,16.86413,-238.24259140625,182625,MRI_FRR_3,SPINE,ABDOMEN
112,5,24,0.037225228,24.978128,620.4371,2.0,656.0,0.0,357.2163,0.008574116,20.978128,-263.22079140625,182625,MRI_FRR_257,SPINE,ABDOMEN
113,5,25,0.03746344,25.13797,645.5751,15.0,671.0,0.0,357.2163,0.008574116,-4.862030000000001,-288.35879140625,182625,MRI_FRR_264,SPINE,ABDOMEN
114,5,26,0.037891217,25.425007,671.00006,-671.0,0.0,0.0,357.2163,0.008574116,25.42500700000005,313.78375140625,182625,MRI_EXU_95,SPINE,ABDOMEN
115,6,1,0.047420032,14.79505,29.66748,-671.0,0.0,0.0,0.0,0.002357635,14.795049999999948,29.66748,182625,MRI_MSR_100,SPINE,ABDOMEN
116,6,2,0.046755604,14.587749,44.25523,82.0,82.0,8.718278,8.718278,0.002357635,-5.869471068786623,-35.53695206878662,182625,MRI_MSR_104,PELVIS,SPINE
117,6,3,0.047050342,14.679707,58.934937,5.0,87.0,12.643199,21.361477,0.002357635,2.03650803302002,-37.57346010180664,182625,MRI_FRR_2,PELVIS,SPINE
118,6,4,0.047877416,14.937754,73.87269,9.0,96.0,14.2801075,35.641586,0.002357635,0.6576465018310547,-38.23110369628907,182625,MRI_FRR_257,PELVIS,SPINE
119,6,5,0.04795348,14.961486,88.834175,11.0,107.0,15.011472,50.653057,0.002357635,-0.04998574835205,-38.18111790161133,182625,MRI_FRR_264,PELVIS,SPINE
120,6,6,0.04736005,14.776336,103.61051,22.0,129.0,15.544036,66.19709,0.002357635,0.767699911560058,-37.413419851074224,182625,MRI_CCS_11,PELVIS,SPINE
121,6,7,0.048021328,14.982655,118.59317,43.0,172.0,16.36338,82.56047,0.002357635,1.380725432128905,-36.03269941894531,182625,MRI_FRR_264,PELVIS,SPINE
122,6,8,0.04797924,14.969522,133.5627,1.0,173.0,15.94218,98.50265,0.002357635,-0.972657679870606,-35.06005260009766,182625,MRI_FRR_257,PELVIS,SPINE
123,6,9,0.04792099,14.951349,148.51405,11.0,184.0,15.941143,114.44379,0.002357635,-0.9897940358886714,-34.07026337890625,182625,MRI_FRR_264,PELVIS,SPINE
124,6,10,0.047886427,14.940565,163.45462,1.0,185.0,15.06331,129.5071,0.002357635,-0.1227446694946294,-33.94752466308594,182625,MRI_FRR_264,PELVIS,SPINE
125,6,11,0.047882512,14.939343,178.39397,63.0,248.0,17.127771,146.63487,0.002357635,2.188428377563476,-31.75909756347656,182625,MRI_FRR_264,PELVIS,SPINE
126,6,12,0.047199115,14.726124,193.12009,4.0,252.0,14.576232,161.2111,0.002357635,0.1498920435180668,-31.90898465332032,182625,MRI_CCS_11,PELVIS,SPINE
127,6,13,0.047178503,14.719693,207.83978,26.0,278.0,13.779666,174.99077,0.002357635,-0.9400270530395504,-32.8490115673828,182625,MRI_CCS_11,PELVIS,SPINE
128,6,14,0.047776774,14.906353,222.74614,10.0,288.0,7.0674496,182.05821,0.002357635,1.973802569702148,-40.68792771972656,182625,MRI_FRR_257,PELVIS,SPINE
129,6,15,0.0477729,14.905145,237.65129,2.0,290.0,1.9204469,183.97865,0.002357635,12.82559187271118,-53.672637045898426,182625,MRI_FRR_264,PELVIS,SPINE
130,6,16,0.04782032,14.919939,252.57123,13.0,303.0,0.0,183.97865,0.002357635,-11.080061,-68.59257704589845,182625,MRI_FRR_3,PELVIS,SPINE
131,6,17,0.04752154,14.82672,267.39795,1.0,304.0,0.0,183.97865,0.002357635,12.82672,-83.41929704589842,182625,MRI_MSR_34,PELVIS,SPINE
132,6,18,0.04757494,14.843382,282.24133,6.0,310.0,0.0,183.97865,0.002357635,2.843382,-98.26267704589844,182625,MRI_MPT_1005,PELVIS,SPINE
133,6,19,0.047740407,14.895007,297.13635,2.0,312.0,0.0,183.97865,0.002357635,10.895007,-113.15769704589844,182625,MRI_FRR_257,PELVIS,SPINE
134,6,20,0.047640037,14.863691,312.00003,-312.0,0.0,0.0,183.97865,0.002357635,14.863691000000015,128.02137704589842,182625,MRI_FRR_264,PELVIS,SPINE
135,7,1,0.0525124,14.65096,29.378548,-325.0,0.0,0.0,0.0,0.0026080185,14.650959999999998,29.378548,182625,MRI_MSR_100,PELVIS,SPINE
136,7,2,0.05177662,14.445678,43.824226,6.0,6.0,1.8903573,1.8903573,0.0026080185,4.336035255935668,33.71458325593567,182625,MRI_MSR_104,SPINE,PELVIS
137,7,3,0.05210301,14.536739,58.360966,5.0,11.0,10.589765,12.480122,0.0026080185,3.946974404968264,45.88084438745117,182625,MRI_FRR_2,SPINE,PELVIS
138,7,4,0.053018898,14.792273,73.15324,10.0,21.0,14.477966,26.958088,0.0026080185,0.3143066914062498,46.19515207885742,182625,MRI_FRR_257,SPINE,PELVIS
139,7,5,0.053103134,14.815774,87.96901,8.0,29.0,15.804042,42.76213,0.0026080185,-0.9882678624877936,45.20687926269531,182625,MRI_FRR_264,SPINE,PELVIS
140,7,6,0.052445978,14.632428,102.60144,1.0,30.0,16.374,59.13613,0.0026080185,-1.7415725493164054,43.4653087133789,182625,MRI_CCS_11,SPINE,PELVIS
141,7,7,0.052500132,14.647537,117.24898,13.0,43.0,16.887714,76.02385,0.0026080185,-2.2401773859863283,41.22513051269532,182625,MRI_CCS_11,SPINE,PELVIS
142,7,8,0.053146347,14.827831,132.07681,87.0,130.0,18.436907,94.460754,0.0026080185,3.609075814575192,-33.462435605468755,182625,MRI_FRR_264,SPINE,PELVIS
143,7,9,0.0530705,14.806669,146.88348,37.0,167.0,18.626884,113.08764,0.0026080185,3.8202154604492193,-33.79584114501952,182625,MRI_FRR_264,SPINE,PELVIS
144,7,10,0.052323088,14.598142,161.48163,2.0,169.0,17.761225,130.84886,0.0026080185,-3.1630827467041023,-30.63276830566405,182625,MRI_CCS_11,SPINE,PELVIS
145,7,11,0.052321225,14.597622,176.07925,11.0,180.0,17.408134,148.25699,0.0026080185,-2.81051246044922,-27.822261474609377,182625,MRI_CCS_11,SPINE,PELVIS
146,7,12,0.052311495,14.594907,190.67416,1.0,181.0,12.355432,160.61243,0.0026080185,2.239475443298339,-10.7134132421875,182625,MRI_CCS_11,SPINE,PELVIS
147,7,13,0.052291196,14.589244,205.26341,63.0,244.0,17.997736,178.61017,0.0026080185,3.408491977172851,-26.653241542968743,182625,MRI_CCS_11,SPINE,PELVIS
148,7,14,0.052680165,14.697766,219.96118,0.0,244.0,7.05134,185.66151,0.0026080185,7.646425896850586,-34.29966571777345,182625,MRI_MSR_34,SPINE,PELVIS
149,7,15,0.05263778,14.68594,234.64713,16.0,260.0,3.0248284,188.68634,0.0026080185,-11.661111566009522,-45.960789667968754,182625,MRI_MPT_1005,SPINE,PELVIS
150,7,16,0.052889284,14.75611,249.40323,10.0,270.0,0.0,188.68634,0.0026080185,-5.24389,-60.71688966796876,182625,MRI_FRR_257,SPINE,PELVIS
151,7,17,0.05298298,14.782251,264.1855,9.0,279.0,0.0,188.68634,0.0026080185,-3.2177489999999995,-75.49915966796874,182625,MRI_FRR_264,SPINE,PELVIS
152,7,18,0.05309873,14.814546,279.00003,-279.0,0.0,0.0,188.68634,0.0026080185,14.814546000000009,90.31368966796872,182625,MRI_FRR_3,SPINE,PELVIS
153,8,1,0.041614227,7.28249,14.603068,-294.0,0.0,0.0,0.0,0.0021582933,7.282489999999996,14.603068,182625,MRI_MSR_100,SPINE,PELVIS
